timestamp,sequence,exchange_timestamp,bid_price_0,bid_size_0,ask_price_0,ask_size_0,bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5,bid_price_6,bid_size_6,ask_price_6,ask_size_6,bid_price_7,bid_size_7,ask_price_7,ask_size_7,bid_price_8,bid_size_8,ask_price_8,ask_size_8,bid_price_9,bid_size_9,ask_price_9,ask_size_9,bid_price_10,bid_size_10,ask_price_10,ask_size_10,bid_price_11,bid_size_11,ask_price_11,ask_size_11,bid_price_12,bid_size_12,ask_price_12,ask_size_12,bid_price_13,bid_size_13,ask_price_13,ask_size_13,bid_price_14,bid_size_14,ask_price_14,ask_size_14,bid_price_15,bid_size_15,ask_price_15,ask_size_15,bid_price_16,bid_size_16,ask_price_16,ask_size_16,bid_price_17,bid_size_17,ask_price_17,ask_size_17,bid_price_18,bid_size_18,ask_price_18,ask_size_18,bid_price_19,bid_size_19,ask_price_19,ask_size_19
1756904112.7983696,1756904112212,1756904112212,208.98,2345.14,208.99,455.28,208.96,763.0,209.0,821.12,208.95,592.02,209.01,1042.42,208.94,167.77,209.02,959.82,208.93,974.48,209.03,583.91,208.92,631.83,209.04,1433.99,208.91,748.97,209.05,1233.36,208.9,1394.01,209.06,2605.66,208.89,2106.3,209.07,2446.96,208.88,1677.36,209.08,1510.12,208.87,1586.47,209.09,1095.66,208.86,2148.28,209.1,1118.04,208.85,643.95,209.11,1355.03,208.84,1956.79,209.12,1172.37,208.83,1313.85,209.13,1483.87,208.82,2172.51,209.14,2303.93,208.81,2449.61,209.15,2562.35,208.8,3645.36,209.16,77.71,208.79,2036.63,209.17,804.25,208.78,1836.79,209.18,3547.85
1756904113.19153,1756904112569,1756904112569,208.98,1771.08,208.99,503.88,208.97,574.07,209.0,970.19,208.96,301.4,209.01,1276.55,208.95,17.85,209.02,845.21,208.94,519.12,209.03,924.95,208.93,925.3,209.04,1593.83,208.92,631.83,209.05,1233.36,208.91,748.97,209.06,2608.41,208.9,1968.3,209.07,1740.17,208.89,2135.01,209.08,1963.06,208.88,1677.36,209.09,3019.64,208.87,1586.47,209.1,1118.04,208.86,2130.93,209.11,781.26,208.85,643.95,209.12,1172.37,208.84,1956.79,209.13,910.16,208.83,1313.85,209.14,2303.93,208.82,2172.51,209.15,2562.35,208.81,2449.61,209.16,77.71,208.8,3645.36,209.17,804.25,208.79,2036.63,209.18,3547.85
1756904113.4518943,1756904112971,1756904112971,208.98,1770.7,208.99,559.77,208.97,574.07,209.0,970.19,208.96,326.77,209.01,1504.29,208.95,98.8,209.02,934.43,208.94,519.12,209.03,924.95,208.93,915.74,209.04,1593.83,208.92,631.83,209.05,1272.15,208.91,748.97,209.06,2125.86,208.9,1968.3,209.07,1740.17,208.89,2135.01,209.08,1963.06,208.88,1648.65,209.09,3019.64,208.87,1586.47,209.1,1051.02,208.86,2130.93,209.11,1206.33,208.85,643.95,209.12,1172.37,208.84,1956.79,209.13,910.16,208.83,1313.85,209.14,2303.93,208.82,2172.51,209.15,2562.35,208.81,2449.61,209.16,77.71,208.8,3645.36,209.17,871.25,208.79,2036.63,209.18,3547.85
1756904114.04363,1756904113538,1756904113538,208.98,1770.7,208.99,554.27,208.97,574.07,209.0,837.0,208.96,301.4,209.01,1504.29,208.95,98.8,209.02,963.12,208.94,519.12,209.03,924.95,208.93,915.74,209.04,1579.6,208.92,641.4,209.05,1233.36,208.91,992.07,209.06,2125.86,208.9,1968.3,209.07,1740.17,208.89,1921.07,209.08,2484.04,208.88,1648.65,209.09,3019.64,208.87,1586.47,209.1,1051.02,208.86,2188.36,209.11,1206.33,208.85,643.95,209.12,798.44,208.84,1956.79,209.13,910.16,208.83,1313.85,209.14,2303.93,208.82,1841.81,209.15,2562.35,208.81,2062.02,209.16,96.48,208.8,3645.36,209.17,871.25,208.79,2036.63,209.18,3547.85
1756904114.4955463,1756904114117,1756904114117,208.98,1196.6,208.99,540.63,208.96,588.49,209.0,1228.56,208.95,99.52,209.01,1504.29,208.94,519.12,209.02,963.12,208.93,915.74,209.03,989.17,208.92,928.52,209.04,1558.52,208.91,1195.26,209.05,1233.36,208.9,1968.3,209.06,2125.86,208.89,2251.79,209.07,1927.12,208.88,1648.65,209.08,2484.04,208.87,1586.47,209.09,3019.64,208.86,2188.36,209.1,1051.02,208.85,643.95,209.11,1111.88,208.84,1956.79,209.12,819.66,208.83,1313.85,209.13,1285.16,208.82,1841.81,209.14,2303.93,208.81,2062.02,209.15,2562.35,208.8,4018.53,209.16,96.48,208.79,2036.63,209.17,871.25,208.78,1836.79,209.18,3547.85
1756904115.0139709,1756904114606,1756904114606,208.98,1145.67,208.99,807.02,208.96,14.36,209.0,1212.68,208.95,607.19,209.01,1590.52,208.94,508.61,209.02,990.0,208.93,259.3,209.03,1243.85,208.92,624.51,209.04,1468.17,208.91,1551.99,209.05,1807.27,208.9,1394.01,209.06,2121.07,208.89,2223.08,209.07,1934.78,208.88,2223.0,209.08,1623.3,208.87,1586.47,209.09,3019.64,208.86,2188.36,209.1,1051.02,208.85,643.95,209.11,1111.88,208.84,1956.79,209.12,798.44,208.83,1313.85,209.13,1289.95,208.82,1841.81,209.14,2303.93,208.81,2397.01,209.15,2562.35,208.8,4018.53,209.16,96.48,208.79,2036.63,209.17,871.25,208.78,1836.79,209.18,3550.24
1756904115.4888818,1756904115123,1756904115123,208.98,895.15,208.99,822.86,208.97,2.39,209.0,1212.68,208.96,14.36,209.01,1591.51,208.95,601.82,209.02,1080.36,208.94,327.42,209.03,914.66,208.93,196.7,209.04,1568.4,208.92,651.89,209.05,2099.02,208.91,1379.7,209.06,2121.07,208.9,1394.01,209.07,1747.83,208.89,2208.72,209.08,1623.3,208.88,2223.0,209.09,3019.64,208.87,1586.47,209.1,1251.11,208.86,2130.93,209.11,1111.88,208.85,643.95,209.12,798.44,208.84,1956.79,209.13,1289.95,208.83,1313.85,209.14,2303.93,208.82,1841.81,209.15,2562.35,208.81,2397.01,209.16,96.48,208.8,4018.53,209.17,871.25,208.79,2036.63,209.18,3550.24
1756904116.1843,1756904115726,1756904115726,208.98,47.02,208.99,3757.34,208.95,20.0,209.0,1664.15,208.92,12.0,209.01,1936.53,208.91,750.89,209.02,867.9,208.9,324.52,209.03,483.41,208.89,338.38,209.04,3200.52,208.88,490.22,209.05,2174.86,208.87,1177.46,209.06,1376.4,208.86,303.66,209.07,1724.35,208.85,1561.31,209.08,1111.83,208.84,2513.4,209.09,2441.05,208.83,838.95,209.1,960.58,208.82,1016.16,209.11,696.99,208.81,1391.93,209.12,319.42,208.8,2439.9,209.13,1276.11,208.79,2072.45,209.14,2303.93,208.78,1622.1,209.15,2562.35,208.77,4777.39,209.16,96.48,208.76,94.88,209.17,871.25,208.75,814.12,209.18,3540.67
1756904116.6551418,1756904116233,1756904116233,208.95,115.71,208.96,2969.06,208.92,2.39,208.97,2254.52,208.91,615.29,208.98,2331.44,208.9,299.15,208.99,4133.13,208.89,403.62,209.0,1458.16,208.88,581.64,209.01,1946.73,208.87,725.45,209.02,846.7,208.86,674.95,209.03,970.37,208.85,1551.68,209.04,3238.99,208.84,2494.1,209.05,2151.98,208.83,1796.43,209.06,928.55,208.82,2486.12,209.07,1688.28,208.81,1059.3,209.08,1125.67,208.8,2444.69,209.09,2074.31,208.79,2062.87,209.1,960.58,208.78,1676.06,209.11,678.37,208.77,5256.41,209.12,448.61,208.76,1669.81,209.13,933.91,208.75,673.49,209.14,2303.93,208.74,318.77,209.15,2562.35
1756904117.1954763,1756904116776,1756904116776,208.95,471.56,208.96,2384.2,208.92,2.39,208.97,1309.06,208.91,41.03,208.98,179.57,208.9,898.16,208.99,2825.66,208.89,403.62,209.0,1456.62,208.88,461.21,209.01,1946.73,208.87,835.26,209.02,901.89,208.86,707.42,209.03,1050.64,208.85,1768.81,209.04,4015.49,208.84,2494.1,209.05,862.82,208.83,1825.15,209.06,849.88,208.82,2060.46,209.07,1448.8,208.81,1059.3,209.08,597.55,208.8,2444.69,209.09,2074.31,208.79,2077.23,209.1,960.58,208.78,2027.55,209.11,678.37,208.77,5256.41,209.12,328.99,208.76,2191.37,209.13,933.91,208.75,673.49,209.14,2303.93,208.74,318.77,209.15,2562.35
