timestamp,price,size,side,exchange_timestamp
1756904112.7999077,208.98,1771.08,bid,1756904112363
1756904112.7999077,208.99,456.66,ask,1756904112363
1756904113.19153,208.98,1771.08,bid,1756904112468
1756904113.19153,208.99,503.88,ask,1756904112468
1756904113.19153,208.98,1771.08,bid,1756904112611
1756904113.19153,208.99,559.77,ask,1756904112611
1756904113.3337147,208.98,1770.7,bid,1756904112911
1756904113.3337147,208.99,559.77,ask,1756904112911
1756904113.6458025,208.98,1770.7,bid,1756904113305
1756904113.6458025,208.99,540.63,ask,1756904113305
1756904113.9587095,208.98,1770.7,bid,1756904113538
1756904113.9587095,208.99,554.27,ask,1756904113538
1756904114.04363,208.98,1770.7,bid,1756904113631
1756904114.04363,208.99,540.63,ask,1756904113631
1756904114.168723,208.98,1770.6,bid,1756904113704
1756904114.168723,208.99,559.77,ask,1756904113704
1756904114.168723,208.98,1772.99,bid,1756904113833
1756904114.168723,208.99,562.16,ask,1756904113833
1756904114.193394,208.98,1772.99,bid,1756904113916
1756904114.193394,208.99,559.77,ask,1756904113916
1756904114.4215822,208.98,1772.99,bid,1756904114062
1756904114.4215822,208.99,540.63,ask,1756904114062
1756904114.576629,208.98,1196.6,bid,1756904114117
1756904114.576629,208.99,540.63,ask,1756904114117
1756904114.6421604,208.98,1196.6,bid,1756904114302
1756904114.6421604,208.99,543.02,ask,1756904114302
1756904114.829322,208.98,751.6,bid,1756904114513
1756904114.829322,208.99,820.91,ask,1756904114513
1756904114.9005666,208.98,1145.67,bid,1756904114606
1756904114.9005666,208.99,807.02,ask,1756904114606
1756904115.16126,208.98,1145.67,bid,1756904114803
1756904115.16126,208.99,822.86,ask,1756904114803
1756904115.3020985,208.98,751.6,bid,1756904115005
1756904115.3020985,208.99,822.86,ask,1756904115005
1756904115.3420289,208.98,895.15,bid,1756904115066
1756904115.3420289,208.99,836.41,ask,1756904115066
1756904115.4271572,208.98,895.15,bid,1756904115123
1756904115.4271572,208.99,822.86,ask,1756904115123
1756904115.5779686,208.98,895.15,bid,1756904115208
1756904115.5779686,208.99,877.75,ask,1756904115208
1756904115.6239316,208.98,895.15,bid,1756904115273
1756904115.6239316,208.99,1389.46,ask,1756904115273
1756904115.6644723,208.98,751.6,bid,1756904115324
1756904115.6644723,208.99,1723.72,ask,1756904115324
1756904115.7196333,208.98,751.6,bid,1756904115410
1756904115.7196333,208.99,1709.65,ask,1756904115410
1756904115.8012135,208.98,751.6,bid,1756904115488
1756904115.8012135,208.99,1723.37,ask,1756904115488
1756904115.8536239,208.98,482.78,bid,1756904115579
1756904115.8536239,208.99,1831.59,ask,1756904115579
1756904116.0498428,208.98,47.02,bid,1756904115674
1756904116.0498428,208.99,3757.34,ask,1756904115674
1756904116.2747414,208.95,20.0,bid,1756904115799
1756904116.2747414,208.99,4003.41,ask,1756904115799
1756904116.2747414,208.95,20.0,bid,1756904115878
1756904116.2747414,208.96,837.47,ask,1756904115878
1756904116.2747414,208.95,20.0,bid,1756904115996
1756904116.2747414,208.96,1411.64,ask,1756904115996
1756904116.5236835,208.95,20.0,bid,1756904116054
1756904116.5236835,208.96,2600.18,ask,1756904116054
1756904116.5864594,208.95,115.71,bid,1756904116233
1756904116.5864594,208.96,2969.06,ask,1756904116233
1756904116.747484,208.95,115.71,bid,1756904116329
1756904116.747484,208.96,2960.36,ask,1756904116329
1756904116.7823324,208.95,500.64,bid,1756904116407
1756904116.7823324,208.96,2606.63,ask,1756904116407
1756904116.788053,208.95,500.64,bid,1756904116476
1756904116.788053,208.96,2608.01,ask,1756904116476
1756904116.885846,208.95,500.64,bid,1756904116604
1756904116.885846,208.96,2659.05,ask,1756904116604
1756904116.9142814,208.95,500.64,bid,1756904116716
1756904116.9142814,208.96,2898.79,ask,1756904116716
1756904117.0814593,208.95,471.56,bid,1756904116776
1756904117.0814593,208.96,2384.2,ask,1756904116776
1756904117.2679217,208.95,424.53,bid,1756904116846
1756904117.2679217,208.96,2384.2,ask,1756904116846
1756904117.3007345,208.95,424.53,bid,1756904116994
1756904117.3007345,208.96,2398.12,ask,1756904116994
1756904117.384004,208.95,424.53,bid,1756904117051
1756904117.384004,208.96,2384.2,ask,1756904117051
1756904117.4853961,208.95,500.64,bid,1756904117199
1756904117.4853961,208.96,2501.03,ask,1756904117199
1756904117.5697432,208.95,500.64,bid,1756904117284
1756904117.5697432,208.96,2517.07,ask,1756904117284
1756904117.9701269,208.95,500.64,bid,1756904117392
1756904117.9701269,208.96,2518.24,ask,1756904117392
1756904118.5628932,208.95,500.64,bid,1756904117474
1756904118.5628932,208.96,2504.47,ask,1756904117474
1756904118.5628932,208.95,689.94,bid,1756904117776
1756904118.5628932,208.96,2252.19,ask,1756904117776
1756904118.5628932,208.95,689.94,bid,1756904117887
1756904118.5628932,208.96,2205.81,ask,1756904117887
1756904118.5654123,208.95,689.94,bid,1756904117942
1756904118.5654123,208.96,2193.52,ask,1756904117942
1756904118.5654123,208.95,689.94,bid,1756904118000
1756904118.5654123,208.96,2225.19,ask,1756904118000
1756904118.5654123,208.95,989.05,bid,1756904118094
1756904118.5654123,208.96,1947.64,ask,1756904118094
1756904118.5654123,208.95,989.05,bid,1756904118142
1756904118.5654123,208.96,1862.34,ask,1756904118142
1756904118.7574914,208.95,989.05,bid,1756904118305
1756904118.7574914,208.96,1832.63,ask,1756904118305
1756904118.8186383,208.95,989.05,bid,1756904118407
1756904118.8186383,208.96,1948.96,ask,1756904118407
1756904118.9465356,208.95,833.51,bid,1756904118478
1756904118.9465356,208.96,1964.73,ask,1756904118478
1756904118.9465356,208.95,833.51,bid,1756904118535
1756904118.9465356,208.96,1857.36,ask,1756904118535
1756904119.0058162,208.95,833.51,bid,1756904118695
1756904119.0058162,208.96,1876.5,ask,1756904118695
1756904119.0418706,208.95,833.51,bid,1756904118828
1756904119.0418706,208.96,1890.37,ask,1756904118828
1756904119.1871617,208.95,1131.69,bid,1756904118850
1756904119.1871617,208.96,1876.5,ask,1756904118850
1756904119.2636523,208.95,988.12,bid,1756904118910
1756904119.2636523,208.96,1279.75,ask,1756904118910
1756904119.4339566,208.95,1125.63,bid,1756904119029
1756904119.4339566,208.96,406.8,ask,1756904119029
1756904119.5143535,208.95,1187.66,bid,1756904119078
1756904119.5143535,208.96,169.24,ask,1756904119078
1756904119.5715146,208.95,2003.0,bid,1756904119140
1756904119.5715146,208.96,167.86,ask,1756904119140
1756904119.6732447,208.95,2069.77,bid,1756904119220
1756904119.6732447,208.96,14.06,ask,1756904119220
1756904119.7213538,208.95,2643.8,bid,1756904119360
1756904119.7213538,208.97,16.09,ask,1756904119360
1756904119.863947,208.96,1451.6,bid,1756904119502
1756904119.863947,208.97,16.09,ask,1756904119502
1756904120.1473114,208.96,1688.59,bid,1756904119561
